fid, sa4_code_2016, age_grp, sa4_name_2016, pop, pop_distribution, state_name_abbr
3,102,35 to 44,Central Coast,33400,11.89999962,NSW
9,115,35 to 44,Sydney - Baulkham Hills and Hawkesbury,42000,20.20000076,NSW
15,116,35 to 44,Sydney - Blacktown,69300,23,NSW
21,117,35 to 44,Sydney - City and Inner South,61100,18.20000076,NSW
27,118,35 to 44,Sydney - Eastern Suburbs,52900,21.10000038,NSW
33,119,35 to 44,Sydney - Inner South West,77200,15,NSW
39,120,35 to 44,Sydney - Inner West,43600,15.80000019,NSW
45,121,35 to 44,Sydney - North Sydney and Hornsby,62300,17.29999924,NSW
51,122,35 to 44,Sydney - Northern Beaches,35700,16.10000038,NSW
57,123,35 to 44,Sydney - Outer South West,40700,17.60000038,NSW
63,124,35 to 44,Sydney - Outer West and Blue Mountains,48100,18.20000076,NSW
69,125,35 to 44,Sydney - Parramatta,93900,23.10000038,NSW
75,126,35 to 44,Sydney - Ryde,29700,17.10000038,NSW
81,127,35 to 44,Sydney - South West,73200,19.89999962,NSW
87,128,35 to 44,Sydney - Sutherland,34400,18.29999924,NSW
93,101,35 to 44,Capital Region,23000,12.10000038,NSW
99,103,35 to 44,Central West,23600,13.89999962,NSW
105,104,35 to 44,Coffs Harbour - Grafton,16800,14.39999962,NSW
111,105,35 to 44,Far West and Orana,13900,15.30000019,NSW
117,106,35 to 44,Hunter Valley exc Newcastle,37200,16.29999924,NSW
123,107,35 to 44,Illawarra,28900,11.10000038,NSW
129,108,35 to 44,Mid North Coast,20800,11.10000038,NSW
135,109,35 to 44,Murray,15800,15.89999962,NSW
141,110,35 to 44,New England and North West,18800,12.69999981,NSW
147,111,35 to 44,Newcastle and Lake Macquarie,49200,15.69999981,NSW
153,112,35 to 44,Richmond - Tweed,31200,14.80000019,NSW
159,113,35 to 44,Riverina,18800,14.69999981,NSW
165,114,35 to 44,Southern Highlands and Shoalhaven,16900,12.89999962,NSW
171,206,35 to 44,Melbourne - Inner,113200,17.89999962,VIC
177,207,35 to 44,Melbourne - Inner East,54700,16.5,VIC
183,208,35 to 44,Melbourne - Inner South,62100,16.89999962,VIC
189,209,35 to 44,Melbourne - North East,87900,19.39999962,VIC
195,210,35 to 44,Melbourne - North West,50100,14.69999981,VIC
201,211,35 to 44,Melbourne - Outer East,71600,16.60000038,VIC
207,212,35 to 44,Melbourne - South East,127900,18.10000038,VIC
213,213,35 to 44,Melbourne - West,157300,23.10000038,VIC
219,214,35 to 44,Mornington Peninsula,35200,14,VIC
225,201,35 to 44,Ballarat,18600,13.5,VIC
231,202,35 to 44,Bendigo,20800,15.60000038,VIC
237,203,35 to 44,Geelong,44800,17.29999924,VIC
243,204,35 to 44,Hume,19600,13.60000038,VIC
249,205,35 to 44,Latrobe - Gippsland,30300,12.80000019,VIC
255,215,35 to 44,North West,13900,11.39999962,VIC
261,216,35 to 44,Shepparton,13300,12.39999962,VIC
267,217,35 to 44,Warrnambool and South West,11700,11.5,VIC
273,301,35 to 44,Brisbane - East,29600,15,QLD
279,302,35 to 44,Brisbane - North,35600,19,QLD
285,303,35 to 44,Brisbane - South,61400,19.5,QLD
291,304,35 to 44,Brisbane - West,20000,12.80000019,QLD
297,305,35 to 44,Brisbane Inner City,49300,18.79999924,QLD
303,310,35 to 44,Ipswich,57700,19.89999962,QLD
309,311,35 to 44,Logan - Beaudesert,44200,15.80000019,QLD
315,313,35 to 44,Moreton Bay - North,29600,13.69999981,QLD
321,314,35 to 44,Moreton Bay - South,34500,19.60000038,QLD
327,306,35 to 44,Cairns,34800,16.89999962,QLD
333,307,35 to 44,Darling Downs - Maranoa,11600,11.5,QLD
339,308,35 to 44,Central Queensland,28800,16.10000038,QLD
345,309,35 to 44,Gold Coast,93500,17.20000076,QLD
351,312,35 to 44,Mackay - Isaac - Whitsunday,24300,17.5,QLD
357,315,35 to 44,Queensland - Outback,10500,16.70000076,QLD
363,316,35 to 44,Sunshine Coast,44600,13.5,QLD
369,317,35 to 44,Toowoomba,20300,15.80000019,QLD
375,318,35 to 44,Townsville,27400,14.60000038,QLD
381,319,35 to 44,Wide Bay,30100,12,QLD
387,401,35 to 44,Adelaide - Central and Hills,42100,16.20000076,SA
393,402,35 to 44,Adelaide - North,60800,17,SA
399,403,35 to 44,Adelaide - South,49200,15.80000019,SA
405,404,35 to 44,Adelaide - West,29000,14.10000038,SA
411,405,35 to 44,Barossa - Yorke - Mid North,13900,14.60000038,SA
417,406,35 to 44,South Australia - Outback,10100,15.10000038,SA
423,407,35 to 44,South Australia - South East,17800,10.89999962,SA
429,502,35 to 44,Mandurah,7700,8.899999619,WA
435,503,35 to 44,Perth - Inner,31300,19.60000038,WA
441,504,35 to 44,Perth - North East,44100,19.70000076,WA
447,505,35 to 44,Perth - North West,79300,17,WA
453,506,35 to 44,Perth - South East,81000,18.79999924,WA
459,507,35 to 44,Perth - South West,63100,17.60000038,WA
465,501,35 to 44,Bunbury,22800,15.19999981,WA
471,509,35 to 44,Western Australia - Wheat Belt,15900,14.19999981,WA
477,601,35 to 44,Hobart,29600,15,TAS
483,602,35 to 44,Launceston and North East,16400,13.30000019,TAS
489,603,35 to 44,South East,4500,13.19999981,TAS
495,604,35 to 44,West and North West,12300,13.10000038,TAS
501,701,35 to 44,Darwin,22500,19.79999924,NT
507,702,35 to 44,Northern Territory - Outback,14800,19.60000038,NT
