fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
5,4500,4100,12100,1,12500,New South Wales,101,14.9,Rest of NSW,16600,1RNSW,Capital Region,Clerical and Administrative Workers
13,5300,10200,18200,1,13300,New South Wales,102,15,Greater Sydney,23500,1GSYD,Central Coast,Clerical and Administrative Workers
21,1400,5100,10000,1,6200,New South Wales,103,10.3,Rest of NSW,11400,1RNSW,Central West,Clerical and Administrative Workers
29,800,2000,4300,1,3100,New South Wales,104,9.8,Rest of NSW,5200,1RNSW,Coffs Harbour - Grafton,Clerical and Administrative Workers
37,200,2700,6600,1,4200,New South Wales,105,12.5,Rest of NSW,6900,1RNSW,Far West and Orana,Clerical and Administrative Workers
45,2800,8300,14100,1,8500,New South Wales,106,12.9,Rest of NSW,16800,1RNSW,Hunter Valley exc Newcastle,Clerical and Administrative Workers
53,5300,9000,15100,1,11400,New South Wales,107,13.5,Rest of NSW,20400,1RNSW,Illawarra,Clerical and Administrative Workers
61,3600,4300,7200,1,6500,New South Wales,108,12.8,Rest of NSW,10800,1RNSW,Mid North Coast,Clerical and Administrative Workers
69,1000,3300,6100,1,3800,New South Wales,109,12.7,Rest of NSW,7100,1RNSW,Murray,Clerical and Administrative Workers
77,1200,2500,6100,1,4800,New South Wales,110,8.5,Rest of NSW,7300,1RNSW,New England and North West,Clerical and Administrative Workers
85,5900,8000,20500,1,18400,New South Wales,111,14.5,Rest of NSW,26400,1RNSW,Newcastle and Lake Macquarie,Clerical and Administrative Workers
93,3500,6100,10800,1,8200,New South Wales,112,12.2,Rest of NSW,14300,1RNSW,Richmond - Tweed,Clerical and Administrative Workers
101,2600,5000,9800,1,7400,New South Wales,113,15.3,Rest of NSW,12400,1RNSW,Riverina,Clerical and Administrative Workers
109,2000,3600,6400,1,4800,New South Wales,114,13.6,Rest of NSW,8400,1RNSW,Southern Highlands and Shoalhaven,Clerical and Administrative Workers
117,3800,9200,18100,1,12700,New South Wales,115,16.5,Greater Sydney,21900,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Clerical and Administrative Workers
125,9500,7800,19300,1,21000,New South Wales,116,15.2,Greater Sydney,28800,1GSYD,Sydney - Blacktown,Clerical and Administrative Workers
133,9600,6000,16900,1,20600,New South Wales,117,11.1,Greater Sydney,26500,1GSYD,Sydney - City and Inner South,Clerical and Administrative Workers
141,7200,5200,11500,1,13500,New South Wales,118,10.8,Greater Sydney,18700,1GSYD,Sydney - Eastern Suburbs,Clerical and Administrative Workers
149,12500,14000,36100,1,34600,New South Wales,119,16.1,Greater Sydney,48700,1GSYD,Sydney - Inner South West,Clerical and Administrative Workers
157,9100,9300,19700,1,19500,New South Wales,120,15.7,Greater Sydney,28800,1GSYD,Sydney - Inner West,Clerical and Administrative Workers
165,8100,10800,21300,1,18600,New South Wales,121,12.2,Greater Sydney,29400,1GSYD,Sydney - North Sydney and Hornsby,Clerical and Administrative Workers
173,3800,7200,13700,1,10300,New South Wales,122,11.7,Greater Sydney,17500,1GSYD,Sydney - Northern Beaches,Clerical and Administrative Workers
181,6400,8200,19400,1,17600,New South Wales,123,17.6,Greater Sydney,25800,1GSYD,Sydney - Outer South West,Clerical and Administrative Workers
189,6600,10600,20500,1,16400,New South Wales,124,16.5,Greater Sydney,27100,1GSYD,Sydney - Outer West and Blue Mountains,Clerical and Administrative Workers
197,14200,10100,26600,1,30700,New South Wales,125,17.2,Greater Sydney,40800,1GSYD,Sydney - Parramatta,Clerical and Administrative Workers
205,5600,5500,13600,1,13800,New South Wales,126,16.5,Greater Sydney,19300,1GSYD,Sydney - Ryde,Clerical and Administrative Workers
