fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
1,8300,3700,5100,1,9700,New South Wales,101,12,Rest of NSW,13400,1RNSW,Capital Region,Managers
9,9900,1300,6400,1,15000,New South Wales,102,10.4,Greater Sydney,16300,1GSYD,Central Coast,Managers
17,14300,2500,6300,1,18100,New South Wales,103,18.5,Rest of NSW,20600,1RNSW,Central West,Managers
25,4600,2200,4100,1,6600,New South Wales,104,16.4,Rest of NSW,8700,1RNSW,Coffs Harbour - Grafton,Managers
33,4100,1400,2100,1,4800,New South Wales,105,11.3,Rest of NSW,6200,1RNSW,Far West and Orana,Managers
41,7200,3600,7700,1,11300,New South Wales,106,11.4,Rest of NSW,14900,1RNSW,Hunter Valley exc Newcastle,Managers
49,8000,2100,5000,1,11000,New South Wales,107,8.6,Rest of NSW,13000,1RNSW,Illawarra,Managers
57,5200,500,4400,1,9100,New South Wales,108,11.5,Rest of NSW,9700,1RNSW,Mid North Coast,Managers
65,5200,1500,3000,1,6600,New South Wales,109,14.6,Rest of NSW,8200,1RNSW,Murray,Managers
73,11400,1100,6000,1,16300,New South Wales,110,20.4,Rest of NSW,17400,1RNSW,New England and North West,Managers
81,11100,2700,4900,1,13300,New South Wales,111,8.8,Rest of NSW,16000,1RNSW,Newcastle and Lake Macquarie,Managers
89,8600,2800,5200,1,11000,New South Wales,112,11.8,Rest of NSW,13800,1RNSW,Richmond - Tweed,Managers
97,9200,1100,2800,1,10900,New South Wales,113,14.8,Rest of NSW,12000,1RNSW,Riverina,Managers
105,4800,2800,4300,1,6300,New South Wales,114,14.7,Rest of NSW,9100,1RNSW,Southern Highlands and Shoalhaven,Managers
113,14100,1800,7900,1,20300,New South Wales,115,16.7,Greater Sydney,22100,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Managers
121,9800,1200,5200,1,13800,New South Wales,116,8,Greater Sydney,15100,1GSYD,Sydney - Blacktown,Managers
129,19100,3300,21000,1,36800,New South Wales,117,16.8,Greater Sydney,40100,1GSYD,Sydney - City and Inner South,Managers
137,17600,4700,15400,1,28400,New South Wales,118,19.1,Greater Sydney,33000,1GSYD,Sydney - Eastern Suburbs,Managers
145,19800,3900,13400,1,29400,New South Wales,119,11,Greater Sydney,33200,1GSYD,Sydney - Inner South West,Managers
153,15500,2000,12600,1,26100,New South Wales,120,15.3,Greater Sydney,28100,1GSYD,Sydney - Inner West,Managers
161,24000,6100,20500,1,38400,New South Wales,121,18.4,Greater Sydney,44500,1GSYD,Sydney - North Sydney and Hornsby,Managers
169,11500,3700,11100,1,18900,New South Wales,122,15.1,Greater Sydney,22600,1GSYD,Sydney - Northern Beaches,Managers
177,11800,1500,4800,1,15100,New South Wales,123,11.3,Greater Sydney,16600,1GSYD,Sydney - Outer South West,Managers
185,7900,2500,8500,1,13900,New South Wales,124,10,Greater Sydney,16400,1GSYD,Sydney - Outer West and Blue Mountains,Managers
193,17200,1400,6900,1,22600,New South Wales,125,10.2,Greater Sydney,24100,1GSYD,Sydney - Parramatta,Managers
