"fid","gccsa_name_2016","age_grp","pop","gccsa_code_2016","pop_distribution","state_name_abbr"
1,"Greater Sydney","15 to 24",652500,"1GSYD",14.89999962,"NSW"
7,"Greater Melbourne","15 to 24",624900,"2GMEL",14.89999962,"VIC"
13,"Greater Brisbane","15 to 24",334200,"3GBRI",16.10000038,"QLD"
19,"Greater Adelaide","15 to 24",167300,"4GADE",14.69999981,"SA"
25,"Greater Perth","15 to 24",260000,"5GPER",15,"WA"
2,"Greater Sydney","25 to 34",878800,"1GSYD",20.10000038,"NSW"
8,"Greater Melbourne","25 to 34",862800,"2GMEL",20.60000038,"VIC"
14,"Greater Brisbane","25 to 34",396900,"3GBRI",19.10000038,"QLD"
20,"Greater Adelaide","25 to 34",191300,"4GADE",16.89999962,"SA"
26,"Greater Perth","25 to 34",314100,"5GPER",18.20000076,"WA"
3,"Greater Sydney","35 to 44",797600,"1GSYD",18.20000076,"NSW"
9,"Greater Melbourne","35 to 44",760000,"2GMEL",18.10000038,"VIC"
15,"Greater Brisbane","35 to 44",361900,"3GBRI",17.39999962,"QLD"
21,"Greater Adelaide","35 to 44",181100,"4GADE",16,"SA"
27,"Greater Perth","35 to 44",306400,"5GPER",17.70000076,"WA"
4,"Greater Sydney","45 to 54",667900,"1GSYD",15.19999981,"NSW"
10,"Greater Melbourne","45 to 54",641000,"2GMEL",15.30000019,"VIC"
16,"Greater Brisbane","45 to 54",332500,"3GBRI",16,"QLD"
22,"Greater Adelaide","45 to 54",174100,"4GADE",15.30000019,"SA"
28,"Greater Perth","45 to 54",274400,"5GPER",15.89999962,"WA"
5,"Greater Sydney","55 to 64",582700,"1GSYD",13.30000019,"NSW"
11,"Greater Melbourne","55 to 64",543800,"2GMEL",13,"VIC"
17,"Greater Brisbane","55 to 64",279000,"3GBRI",13.39999962,"QLD"
23,"Greater Adelaide","55 to 64",166800,"4GADE",14.69999981,"SA"
29,"Greater Perth","55 to 64",240600,"5GPER",13.89999962,"WA"
6,"Greater Sydney","65 and over",802200,"1GSYD",18.29999924,"NSW"
12,"Greater Melbourne","65 and over",759900,"2GMEL",18.10000038,"VIC"
18,"Greater Brisbane","65 and over",374200,"3GBRI",18,"QLD"
24,"Greater Adelaide","65 and over",254500,"4GADE",22.39999962,"SA"
30,"Greater Perth","65 and over",333500,"5GPER",19.29999924,"WA"
