fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
7,5200,1300,800,1,4700,New South Wales,101,5.4,Rest of NSW,6000,1RNSW,Capital Region,Machinery Operators And Drivers
15,8200,1500,700,1,7400,New South Wales,102,5.7,Greater Sydney,8900,1GSYD,Central Coast,Machinery Operators And Drivers
23,8400,1700,900,1,7600,New South Wales,103,8.4,Rest of NSW,9300,1RNSW,Central West,Machinery Operators And Drivers
31,2600,300,500,1,2800,New South Wales,104,5.8,Rest of NSW,3100,1RNSW,Coffs Harbour - Grafton,Machinery Operators And Drivers
39,5400,1200,600,1,4900,New South Wales,105,11.1,Rest of NSW,6100,1RNSW,Far West and Orana,Machinery Operators And Drivers
47,10800,1800,2400,1,11400,New South Wales,106,10.1,Rest of NSW,13200,1RNSW,Hunter Valley exc Newcastle,Machinery Operators And Drivers
55,7100,1100,600,1,6600,New South Wales,107,5.1,Rest of NSW,7700,1RNSW,Illawarra,Machinery Operators And Drivers
63,3500,2000,0,1,1500,New South Wales,108,4.2,Rest of NSW,3500,1RNSW,Mid North Coast,Machinery Operators And Drivers
71,4600,400,100,1,4300,New South Wales,109,8.4,Rest of NSW,4700,1RNSW,Murray,Machinery Operators And Drivers
79,9400,1200,1200,1,9400,New South Wales,110,12.4,Rest of NSW,10600,1RNSW,New England and North West,Machinery Operators And Drivers
87,11100,1300,300,1,10100,New South Wales,111,6.3,Rest of NSW,11400,1RNSW,Newcastle and Lake Macquarie,Machinery Operators And Drivers
95,6500,1600,500,1,5400,New South Wales,112,6,Rest of NSW,7000,1RNSW,Richmond - Tweed,Machinery Operators And Drivers
103,4900,1400,800,1,4300,New South Wales,113,7,Rest of NSW,5700,1RNSW,Riverina,Machinery Operators And Drivers
111,4500,600,100,1,4000,New South Wales,114,7.5,Rest of NSW,4600,1RNSW,Southern Highlands and Shoalhaven,Machinery Operators And Drivers
119,5000,700,0,1,4400,New South Wales,115,3.8,Greater Sydney,5000,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Machinery Operators And Drivers
127,19200,3100,3900,1,20000,New South Wales,116,12.2,Greater Sydney,23100,1GSYD,Sydney - Blacktown,Machinery Operators And Drivers
135,2300,1600,400,1,1100,New South Wales,117,1.1,Greater Sydney,2700,1GSYD,Sydney - City and Inner South,Machinery Operators And Drivers
143,2300,1000,1200,1,2500,New South Wales,118,2,Greater Sydney,3500,1GSYD,Sydney - Eastern Suburbs,Machinery Operators And Drivers
151,17800,4300,1900,1,15500,New South Wales,119,6.5,Greater Sydney,19700,1GSYD,Sydney - Inner South West,Machinery Operators And Drivers
159,4300,1400,0,1,2900,New South Wales,120,2.3,Greater Sydney,4300,1GSYD,Sydney - Inner West,Machinery Operators And Drivers
167,2600,300,0,1,2300,New South Wales,121,1.1,Greater Sydney,2600,1GSYD,Sydney - North Sydney and Hornsby,Machinery Operators And Drivers
175,3000,700,700,1,3000,New South Wales,122,2.5,Greater Sydney,3700,1GSYD,Sydney - Northern Beaches,Machinery Operators And Drivers
183,12200,2600,1200,1,10800,New South Wales,123,9.1,Greater Sydney,13400,1GSYD,Sydney - Outer South West,Machinery Operators And Drivers
191,12100,1800,900,1,11300,New South Wales,124,8,Greater Sydney,13100,1GSYD,Sydney - Outer West and Blue Mountains,Machinery Operators And Drivers
199,12800,4900,2100,1,10000,New South Wales,125,6.3,Greater Sydney,14800,1GSYD,Sydney - Parramatta,Machinery Operators And Drivers
207,3100,900,700,1,2800,New South Wales,126,3.2,Greater Sydney,3700,1GSYD,Sydney - Ryde,Machinery Operators And Drivers
215,18900,5100,3700,1,17600,New South Wales,127,11.5,Greater Sydney,22600,1GSYD,Sydney - South West,Machinery Operators And Drivers
223,6100,1000,1000,1,6200,New South Wales,128,5.8,Greater Sydney,7200,1GSYD,Sydney - Sutherland,Machinery Operators And Drivers
231,4700,300,600,2,5000,Victoria,201,6.6,Rest of Vic.,5300,2RVIC,Ballarat,Machinery Operators And Drivers
239,4000,500,0,2,3500,Victoria,202,5.2,Rest of Vic.,4000,2RVIC,Bendigo,Machinery Operators And Drivers
