fid, yth_unemp_rt_15_24, mpy_rt_15_64, working_age_pop_15_64, sa4_code_2016, unemp_rt_15, sa4_name_2016, state_name_abbr, ptic_rt_15
1,10.19999981,72.69999695,195400,102,5,Central Coast,NSW,56.5
2,13.19999981,77.19999695,168900,115,5,Sydney - Baulkham Hills and Hawkesbury,NSW,68.90000153
3,17.70000076,74.09999847,263800,116,6.5,Sydney - Blacktown,NSW,71.09999847
4,10.80000019,77.80000305,294800,117,5.400000095,Sydney - City and Inner South,NSW,75.90000153
5,8.100000381,81.09999847,208500,118,3.599999905,Sydney - Eastern Suburbs,NSW,72.69999695
6,14.60000038,68.40000153,414100,119,6.900000095,Sydney - Inner South West,NSW,61.09999847
7,7.400000095,79.69999695,219100,120,4.300000191,Sydney - Inner West,NSW,70
8,9.800000191,76.30000305,285100,121,3.799999952,Sydney - North Sydney and Hornsby,NSW,66.80000305
9,9.399999619,79.69999695,172000,122,3.5,Sydney - Northern Beaches,NSW,68.69999695
10,10.19999981,73.09999847,194500,123,5.099999905,Sydney - Outer South West,NSW,68.19999695
11,11.89999962,75.69999695,216100,124,4.400000095,Sydney - Outer West and Blue Mountains,NSW,67.90000153
12,13.30000019,68.5,346100,125,6.900000095,Sydney - Parramatta,NSW,64.19999695
13,9.5,75.40000153,145000,126,4.5,Sydney - Ryde,NSW,68.90000153
14,15.30000019,61,303700,127,8.5,Sydney - South West,NSW,57.29999924
15,5.599999905,81.09999847,152400,128,3.099999905,Sydney - Sutherland,NSW,71.69999695
16,14.69999981,68.69999695,142400,101,5.800000191,Capital Region,NSW,58.09999847
17,4.5,78.59999847,131200,103,2.299999952,Central West,NSW,69
18,3.299999952,73.30000305,78600,104,3.5,Coffs Harbour - Grafton,NSW,55.20000076
19,10.30000019,74.40000153,68100,105,4.800000191,Far West and Orana,NSW,62.79999924
20,11,74.30000305,172900,106,4,Hunter Valley exc Newcastle,NSW,60.90000153
21,12.5,74.5,201600,107,5.300000191,Illawarra,NSW,63.70000076
22,12.19999981,64.40000153,117500,108,5.099999905,Mid North Coast,NSW,48.20000076
23,14.5,76.30000305,70900,109,5.800000191,Murray,NSW,61.90000153
24,7,73.80000305,102200,110,4.900000095,New England and North West,NSW,62.29999924
25,8,76,245200,111,4.5,Newcastle and Lake Macquarie,NSW,63.79999924
26,7.800000191,77.80000305,150900,112,4.300000191,Richmond - Tweed,NSW,61.90000153
27,9,81.30000305,94900,113,2,Riverina,NSW,66.09999847
28,18.10000038,73.19999695,91100,114,6.300000191,Southern Highlands and Shoalhaven,NSW,58
29,10.5,79.09999847,544500,206,5.300000191,Melbourne - Inner,VIC,74
30,16,74.19999695,272400,207,5.900000095,Melbourne - Inner East,VIC,67.59999847
31,10.10000038,76.80000305,284100,208,3.5,Melbourne - Inner South,VIC,66.40000153
32,11.10000038,76.40000153,359300,209,5.099999905,Melbourne - North East,VIC,66.5
33,12.19999981,69,273900,210,7.199999809,Melbourne - North West,VIC,62.59999847
34,7.800000191,75.80000305,332500,211,4,Melbourne - Outer East,VIC,64.40000153
35,14.19999981,73.69999695,588600,212,5.900000095,Melbourne - South East,VIC,67.90000153
36,17,72.40000153,593600,213,6.400000095,Melbourne - West,VIC,68.80000305
37,11.30000019,77.80000305,183900,214,4.5,Mornington Peninsula,VIC,62.59999847
38,6,74.40000153,104200,201,4.099999905,Ballarat,VIC,62.09999847
39,8.5,76.30000305,102900,202,3.799999952,Bendigo,VIC,65.09999847
40,8.100000381,78.30000305,204700,203,3.099999905,Geelong,VIC,66.90000153
41,7.099999905,77.80000305,111800,204,3.099999905,Hume,VIC,66.90000153
42,16.39999962,71.19999695,156000,205,5.699999809,Latrobe - Gippsland,VIC,56.20000076
43,5.400000095,73.80000305,83400,215,3.099999905,North West,VIC,58.59999847
44,5,74,75200,216,2.5,Shepparton,VIC,56.59999847
45,8.699999809,78.59999847,75100,217,4.099999905,Warrnambool and South West,VIC,65.5
46,10.19999981,81.19999695,151600,301,3.900000095,Brisbane - East,QLD,67.69999695
47,10.39999962,80.40000153,158500,302,4.099999905,Brisbane - North,QLD,73.30000305
48,9.199999809,74.59999847,263200,303,6.599999905,Brisbane - South,QLD,69.19999695
49,15,76.09999847,123400,304,5,Brisbane - West,QLD,68.19999695
50,5.099999905,83.19999695,232600,305,3.599999905,Brisbane Inner City,QLD,78.59999847
51,14.80000019,70,250700,310,7.900000095,Ipswich,QLD,68
52,18.10000038,68.09999847,232800,311,8.699999809,Logan - Beaudesert,QLD,64.59999847
53,11.69999981,70,144200,313,5.599999905,Moreton Bay - North,QLD,53.59999847
54,11.80000019,78.30000305,147300,314,5.699999809,Moreton Bay - South,QLD,70.69999695
55,11.19999981,74.19999695,166900,306,5,Cairns,QLD,66.69999695
