"fid","lbr_frc_stat","gccsa_name_2016","p","gccsa_code_2016","state_name_abbr"
1,"Employed Full-Time","Greater Sydney",1993500,"1GSYD","NSW"
5,"Employed Full-Time","Greater Melbourne",1863200,"2GMEL","VIC"
9,"Employed Full-Time","Greater Brisbane",928300,"3GBRI","QLD"
13,"Employed Full-Time","Greater Adelaide",444400,"4GADE","SA"
17,"Employed Full-Time","Greater Perth",747800,"5GPER","WA"
2,"Employed Part-Time","Greater Sydney",769200,"1GSYD","NSW"
6,"Employed Part-Time","Greater Melbourne",815300,"2GMEL","VIC"
10,"Employed Part-Time","Greater Brisbane",407600,"3GBRI","QLD"
14,"Employed Part-Time","Greater Adelaide",239600,"4GADE","SA"
18,"Employed Part-Time","Greater Perth",381300,"5GPER","WA"
4,"Not in the Labour Force","Greater Sydney",1464000,"1GSYD","NSW"
8,"Not in the Labour Force","Greater Melbourne",1360700,"2GMEL","VIC"
12,"Not in the Labour Force","Greater Brisbane",659800,"3GBRI","QLD"
16,"Not in the Labour Force","Greater Adelaide",411000,"4GADE","SA"
20,"Not in the Labour Force","Greater Perth",542100,"5GPER","WA"
3,"Unemployed Total","Greater Sydney",155100,"1GSYD","NSW"
7,"Unemployed Total","Greater Melbourne",153300,"2GMEL","VIC"
11,"Unemployed Total","Greater Brisbane",82900,"3GBRI","QLD"
15,"Unemployed Total","Greater Adelaide",40200,"4GADE","SA"
19,"Unemployed Total","Greater Perth",57800,"5GPER","WA"
