"fid","gccsa_name_2016","state_code_2016","state_name_2016","sa4_code_2016","age_grp","sa4_name_2016","pop","gccsa_code_2016","pop_distribution"
1,"Rest of NSW",1,"New South Wales",101,"15 to 24","Capital Region",22900,"1RNSW",12.2
7,"Greater Sydney",1,"New South Wales",102,"15 to 24","Central Coast",39500,"1GSYD",14.1
13,"Rest of NSW",1,"New South Wales",103,"15 to 24","Central West",24200,"1RNSW",14.2
19,"Rest of NSW",1,"New South Wales",104,"15 to 24","Coffs Harbour - Grafton",14400,"1RNSW",12.4
25,"Rest of NSW",1,"New South Wales",105,"15 to 24","Far West and Orana",9400,"1RNSW",10.2
31,"Rest of NSW",1,"New South Wales",106,"15 to 24","Hunter Valley exc Newcastle",30200,"1RNSW",13.5
37,"Rest of NSW",1,"New South Wales",107,"15 to 24","Illawarra",43500,"1RNSW",16.8
43,"Rest of NSW",1,"New South Wales",108,"15 to 24","Mid North Coast",21500,"1RNSW",11.5
49,"Rest of NSW",1,"New South Wales",109,"15 to 24","Murray",14000,"1RNSW",14.3
55,"Rest of NSW",1,"New South Wales",110,"15 to 24","New England and North West",17800,"1RNSW",11.9
61,"Rest of NSW",1,"New South Wales",111,"15 to 24","Newcastle and Lake Macquarie",52300,"1RNSW",16.9
67,"Rest of NSW",1,"New South Wales",112,"15 to 24","Richmond - Tweed",27900,"1RNSW",13.4
73,"Rest of NSW",1,"New South Wales",113,"15 to 24","Riverina",21200,"1RNSW",16.5
79,"Rest of NSW",1,"New South Wales",114,"15 to 24","Southern Highlands and Shoalhaven",16200,"1RNSW",12.5
85,"Greater Sydney",1,"New South Wales",115,"15 to 24","Sydney - Baulkham Hills and Hawkesbury",39300,"1GSYD",19.3
91,"Greater Sydney",1,"New South Wales",116,"15 to 24","Sydney - Blacktown",46100,"1GSYD",15.6
97,"Greater Sydney",1,"New South Wales",117,"15 to 24","Sydney - City and Inner South",39500,"1GSYD",11.7
103,"Greater Sydney",1,"New South Wales",118,"15 to 24","Sydney - Eastern Suburbs",37300,"1GSYD",14.9
109,"Greater Sydney",1,"New South Wales",119,"15 to 24","Sydney - Inner South West",78400,"1GSYD",15.2
115,"Greater Sydney",1,"New South Wales",120,"15 to 24","Sydney - Inner West",43400,"1GSYD",15.6
121,"Greater Sydney",1,"New South Wales",121,"15 to 24","Sydney - North Sydney and Hornsby",51400,"1GSYD",14.2
127,"Greater Sydney",1,"New South Wales",122,"15 to 24","Sydney - Northern Beaches",33700,"1GSYD",15.1
133,"Greater Sydney",1,"New South Wales",123,"15 to 24","Sydney - Outer South West",44100,"1GSYD",19.3
139,"Greater Sydney",1,"New South Wales",124,"15 to 24","Sydney - Outer West and Blue Mountains",43800,"1GSYD",16.7
145,"Greater Sydney",1,"New South Wales",125,"15 to 24","Sydney - Parramatta",63700,"1GSYD",15.5
151,"Greater Sydney",1,"New South Wales",126,"15 to 24","Sydney - Ryde",31700,"1GSYD",18.2
157,"Greater Sydney",1,"New South Wales",127,"15 to 24","Sydney - South West",71900,"1GSYD",19.7
163,"Greater Sydney",1,"New South Wales",128,"15 to 24","Sydney - Sutherland",25700,"1GSYD",13.8
169,"Rest of Vic.",2,"Victoria",201,"15 to 24","Ballarat",19600,"2RVIC",14.2
175,"Rest of Vic.",2,"Victoria",202,"15 to 24","Bendigo",21200,"2RVIC",15.8
181,"Rest of Vic.",2,"Victoria",203,"15 to 24","Geelong",39200,"2RVIC",15.2
187,"Rest of Vic.",2,"Victoria",204,"15 to 24","Hume",16900,"2RVIC",11.6
193,"Rest of Vic.",2,"Victoria",205,"15 to 24","Latrobe - Gippsland",27600,"2RVIC",11.6
199,"Greater Melbourne",2,"Victoria",206,"15 to 24","Melbourne - Inner",94700,"2GMEL",14.8
205,"Greater Melbourne",2,"Victoria",207,"15 to 24","Melbourne - Inner East",62600,"2GMEL",18.6
211,"Greater Melbourne",2,"Victoria",208,"15 to 24","Melbourne - Inner South",68600,"2GMEL",18.5
217,"Greater Melbourne",2,"Victoria",209,"15 to 24","Melbourne - North East",60100,"2GMEL",13.2
223,"Greater Melbourne",2,"Victoria",210,"15 to 24","Melbourne - North West",64100,"2GMEL",18.9
