"fid","sa4_code_2016","age_grp","sa4_name_2016","pop","pop_distribution","state_name_abbr"
1,102,"15 to 24","Central Coast",39300,14,"NSW"
7,115,"15 to 24","Sydney - Baulkham Hills and Hawkesbury",30200,14.5,"NSW"
13,116,"15 to 24","Sydney - Blacktown",50200,16.70000076,"NSW"
19,117,"15 to 24","Sydney - City and Inner South",42500,12.60000038,"NSW"
25,118,"15 to 24","Sydney - Eastern Suburbs",26400,10.5,"NSW"
31,119,"15 to 24","Sydney - Inner South West",88800,17.20000076,"NSW"
37,120,"15 to 24","Sydney - Inner West",36600,13.30000019,"NSW"
43,121,"15 to 24","Sydney - North Sydney and Hornsby",59400,16.5,"NSW"
49,122,"15 to 24","Sydney - Northern Beaches",28900,13.10000038,"NSW"
55,123,"15 to 24","Sydney - Outer South West",40000,17.29999924,"NSW"
61,124,"15 to 24","Sydney - Outer West and Blue Mountains",35900,13.60000038,"NSW"
67,125,"15 to 24","Sydney - Parramatta",62300,15.30000019,"NSW"
73,126,"15 to 24","Sydney - Ryde",27900,16.10000038,"NSW"
79,127,"15 to 24","Sydney - South West",54900,14.89999962,"NSW"
85,128,"15 to 24","Sydney - Sutherland",29200,15.5,"NSW"
91,101,"15 to 24","Capital Region",26000,13.69999981,"NSW"
97,103,"15 to 24","Central West",28600,16.79999924,"NSW"
103,104,"15 to 24","Coffs Harbour - Grafton",15100,13,"NSW"
109,105,"15 to 24","Far West and Orana",13700,15.10000038,"NSW"
115,106,"15 to 24","Hunter Valley exc Newcastle",30900,13.5,"NSW"
121,107,"15 to 24","Illawarra",46600,17.89999962,"NSW"
127,108,"15 to 24","Mid North Coast",16700,8.899999619,"NSW"
133,109,"15 to 24","Murray",11600,11.69999981,"NSW"
139,110,"15 to 24","New England and North West",18700,12.60000038,"NSW"
145,111,"15 to 24","Newcastle and Lake Macquarie",47800,15.30000019,"NSW"
151,112,"15 to 24","Richmond - Tweed",31800,15,"NSW"
157,113,"15 to 24","Riverina",16600,13,"NSW"
163,114,"15 to 24","Southern Highlands and Shoalhaven",16900,12.89999962,"NSW"
169,206,"15 to 24","Melbourne - Inner",89000,14.10000038,"VIC"
175,207,"15 to 24","Melbourne - Inner East",53400,16.10000038,"VIC"
181,208,"15 to 24","Melbourne - Inner South",53900,14.69999981,"VIC"
187,209,"15 to 24","Melbourne - North East",62600,13.80000019,"VIC"
193,210,"15 to 24","Melbourne - North West",52000,15.30000019,"VIC"
199,211,"15 to 24","Melbourne - Outer East",62600,14.5,"VIC"
205,212,"15 to 24","Melbourne - South East",115200,16.29999924,"VIC"
211,213,"15 to 24","Melbourne - West",103200,15.19999981,"VIC"
217,214,"15 to 24","Mornington Peninsula",33000,13.10000038,"VIC"
223,201,"15 to 24","Ballarat",22800,16.60000038,"VIC"
229,202,"15 to 24","Bendigo",19700,14.80000019,"VIC"
235,203,"15 to 24","Geelong",34600,13.30000019,"VIC"
241,204,"15 to 24","Hume",19000,13.10000038,"VIC"
247,205,"15 to 24","Latrobe - Gippsland",27100,11.39999962,"VIC"
253,215,"15 to 24","North West",15500,12.69999981,"VIC"
259,216,"15 to 24","Shepparton",16800,15.69999981,"VIC"
265,217,"15 to 24","Warrnambool and South West",15800,15.60000038,"VIC"
271,301,"15 to 24","Brisbane - East",25700,13,"QLD"
277,302,"15 to 24","Brisbane - North",28900,15.39999962,"QLD"
283,303,"15 to 24","Brisbane - South",59200,18.79999924,"QLD"
289,304,"15 to 24","Brisbane - West",29600,18.89999962,"QLD"
295,305,"15 to 24","Brisbane Inner City",40100,15.30000019,"QLD"
301,310,"15 to 24","Ipswich",51500,17.79999924,"QLD"
307,311,"15 to 24","Logan - Beaudesert",46000,16.5,"QLD"
313,313,"15 to 24","Moreton Bay - North",26300,12.19999981,"QLD"
319,314,"15 to 24","Moreton Bay - South",26900,15.30000019,"QLD"
325,306,"15 to 24","Cairns",29600,14.39999962,"QLD"
331,307,"15 to 24","Darling Downs - Maranoa",17400,17.20000076,"QLD"
337,308,"15 to 24","Central Queensland",23800,13.30000019,"QLD"
343,309,"15 to 24","Gold Coast",94500,17.39999962,"QLD"
349,312,"15 to 24","Mackay - Isaac - Whitsunday",20200,14.5,"QLD"
355,315,"15 to 24","Queensland - Outback",7800,12.39999962,"QLD"
361,316,"15 to 24","Sunshine Coast",41600,12.60000038,"QLD"
367,317,"15 to 24","Toowoomba",19700,15.39999962,"QLD"
373,318,"15 to 24","Townsville",32000,17,"QLD"
379,319,"15 to 24","Wide Bay",26000,10.30000019,"QLD"
385,401,"15 to 24","Adelaide - Central and Hills",36600,14,"SA"
391,402,"15 to 24","Adelaide - North",51700,14.39999962,"SA"
397,403,"15 to 24","Adelaide - South",47100,15.19999981,"SA"
