"fid","lbr_frc_stat","gccsa_name_2016","state_code_2016","state_name_2016","p","sa4_code_2016","sa4_name_2016","gccsa_code_2016"
1,"Employed Full-Time","Rest of NSW",1,"New South Wales",80300,101,"Capital Region","1RNSW"
5,"Employed Full-Time","Greater Sydney",1,"New South Wales",100700,102,"Central Coast","1GSYD"
9,"Employed Full-Time","Rest of NSW",1,"New South Wales",76700,103,"Central West","1RNSW"
13,"Employed Full-Time","Rest of NSW",1,"New South Wales",36700,104,"Coffs Harbour - Grafton","1RNSW"
17,"Employed Full-Time","Rest of NSW",1,"New South Wales",37500,105,"Far West and Orana","1RNSW"
21,"Employed Full-Time","Rest of NSW",1,"New South Wales",86800,106,"Hunter Valley exc Newcastle","1RNSW"
25,"Employed Full-Time","Rest of NSW",1,"New South Wales",95600,107,"Illawarra","1RNSW"
29,"Employed Full-Time","Rest of NSW",1,"New South Wales",47400,108,"Mid North Coast","1RNSW"
33,"Employed Full-Time","Rest of NSW",1,"New South Wales",36600,109,"Murray","1RNSW"
37,"Employed Full-Time","Rest of NSW",1,"New South Wales",61500,110,"New England and North West","1RNSW"
41,"Employed Full-Time","Rest of NSW",1,"New South Wales",124500,111,"Newcastle and Lake Macquarie","1RNSW"
45,"Employed Full-Time","Rest of NSW",1,"New South Wales",68200,112,"Richmond - Tweed","1RNSW"
49,"Employed Full-Time","Rest of NSW",1,"New South Wales",57300,113,"Riverina","1RNSW"
53,"Employed Full-Time","Rest of NSW",1,"New South Wales",39400,114,"Southern Highlands and Shoalhaven","1RNSW"
57,"Employed Full-Time","Greater Sydney",1,"New South Wales",96200,115,"Sydney - Baulkham Hills and Hawkesbury","1GSYD"
61,"Employed Full-Time","Greater Sydney",1,"New South Wales",140400,116,"Sydney - Blacktown","1GSYD"
65,"Employed Full-Time","Greater Sydney",1,"New South Wales",182700,117,"Sydney - City and Inner South","1GSYD"
69,"Employed Full-Time","Greater Sydney",1,"New South Wales",127500,118,"Sydney - Eastern Suburbs","1GSYD"
73,"Employed Full-Time","Greater Sydney",1,"New South Wales",217200,119,"Sydney - Inner South West","1GSYD"
77,"Employed Full-Time","Greater Sydney",1,"New South Wales",131000,120,"Sydney - Inner West","1GSYD"
81,"Employed Full-Time","Greater Sydney",1,"New South Wales",172200,121,"Sydney - North Sydney and Hornsby","1GSYD"
85,"Employed Full-Time","Greater Sydney",1,"New South Wales",104900,122,"Sydney - Northern Beaches","1GSYD"
89,"Employed Full-Time","Greater Sydney",1,"New South Wales",103800,123,"Sydney - Outer South West","1GSYD"
93,"Employed Full-Time","Greater Sydney",1,"New South Wales",114800,124,"Sydney - Outer West and Blue Mountains","1GSYD"
97,"Employed Full-Time","Greater Sydney",1,"New South Wales",174800,125,"Sydney - Parramatta","1GSYD"
101,"Employed Full-Time","Greater Sydney",1,"New South Wales",81800,126,"Sydney - Ryde","1GSYD"
105,"Employed Full-Time","Greater Sydney",1,"New South Wales",142000,127,"Sydney - South West","1GSYD"
109,"Employed Full-Time","Greater Sydney",1,"New South Wales",89500,128,"Sydney - Sutherland","1GSYD"
113,"Employed Full-Time","Rest of Vic.",2,"Victoria",51800,201,"Ballarat","2RVIC"
117,"Employed Full-Time","Rest of Vic.",2,"Victoria",49000,202,"Bendigo","2RVIC"
121,"Employed Full-Time","Rest of Vic.",2,"Victoria",99200,203,"Geelong","2RVIC"
125,"Employed Full-Time","Rest of Vic.",2,"Victoria",57800,204,"Hume","2RVIC"
129,"Employed Full-Time","Rest of Vic.",2,"Victoria",81800,205,"Latrobe - Gippsland","2RVIC"
133,"Employed Full-Time","Greater Melbourne",2,"Victoria",328900,206,"Melbourne - Inner","2GMEL"
137,"Employed Full-Time","Greater Melbourne",2,"Victoria",138500,207,"Melbourne - Inner East","2GMEL"
