"fid","lbr_frc_stat","p","sa4_code_2016","sa4_name_2016","state_name_abbr"
1,"Employed Full-Time",100200,102,"Central Coast","NSW"
5,"Employed Full-Time",97500,115,"Sydney - Baulkham Hills and Hawkesbury","NSW"
9,"Employed Full-Time",152200,116,"Sydney - Blacktown","NSW"
13,"Employed Full-Time",180800,117,"Sydney - City and Inner South","NSW"
17,"Employed Full-Time",131000,118,"Sydney - Eastern Suburbs","NSW"
21,"Employed Full-Time",205700,119,"Sydney - Inner South West","NSW"
25,"Employed Full-Time",133800,120,"Sydney - Inner West","NSW"
29,"Employed Full-Time",164400,121,"Sydney - North Sydney and Hornsby","NSW"
33,"Employed Full-Time",101300,122,"Sydney - Northern Beaches","NSW"
37,"Employed Full-Time",112900,123,"Sydney - Outer South West","NSW"
41,"Employed Full-Time",125100,124,"Sydney - Outer West and Blue Mountains","NSW"
45,"Employed Full-Time",175900,125,"Sydney - Parramatta","NSW"
49,"Employed Full-Time",82600,126,"Sydney - Ryde","NSW"
53,"Employed Full-Time",136400,127,"Sydney - South West","NSW"
57,"Employed Full-Time",93600,128,"Sydney - Sutherland","NSW"
61,"Employed Full-Time",72100,101,"Capital Region","NSW"
65,"Employed Full-Time",80800,103,"Central West","NSW"
69,"Employed Full-Time",37500,104,"Coffs Harbour - Grafton","NSW"
73,"Employed Full-Time",40800,105,"Far West and Orana","NSW"
77,"Employed Full-Time",91300,106,"Hunter Valley exc Newcastle","NSW"
81,"Employed Full-Time",103100,107,"Illawarra","NSW"
85,"Employed Full-Time",50000,108,"Mid North Coast","NSW"
89,"Employed Full-Time",41800,109,"Murray","NSW"
93,"Employed Full-Time",60600,110,"New England and North West","NSW"
97,"Employed Full-Time",126200,111,"Newcastle and Lake Macquarie","NSW"
101,"Employed Full-Time",76200,112,"Richmond - Tweed","NSW"
105,"Employed Full-Time",58000,113,"Riverina","NSW"
109,"Employed Full-Time",43700,114,"Southern Highlands and Shoalhaven","NSW"
113,"Employed Full-Time",328400,206,"Melbourne - Inner","VIC"
117,"Employed Full-Time",139500,207,"Melbourne - Inner East","VIC"
121,"Employed Full-Time",157400,208,"Melbourne - Inner South","VIC"
125,"Employed Full-Time",198300,209,"Melbourne - North East","VIC"
129,"Employed Full-Time",130400,210,"Melbourne - North West","VIC"
133,"Employed Full-Time",178800,211,"Melbourne - Outer East","VIC"
137,"Employed Full-Time",316100,212,"Melbourne - South East","VIC"
